14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 21 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 22 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 23 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 24 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 25 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 26 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 27 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 28 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
